Afzelia bipindensis,0.66 
Afzelia pachyloba,0.63 
Afzelia spp.,0.67
Aidia ochroleuca,0.78 
Albizia ferruginea,0.47 
Albizia glaberrima,0.52 
Albizia gummifera,0.51 
Albizia spp.,0.52
Albizia zygia,0.46 
Allanblackia floribunda,0.63 
Allophyllus africanus f. acuminatus,0.45
Alstonia congensis,0.33
Amphimas ferrugineus,0.63 
Amphimas pterocarpoides,0.63 
Anisophyllea obtusifolia,0.63 
Annonidium mannii,0.29 
Anopyxis klaineana,0.74 
Anthocleista keniensis,0.50 
Anthonotha macrophylla,0.78 
Anthostemma aubryanum,0.32 
Antiaris africana,0.37
Antiaris spp.,0.38
Antrocaryon klaineanum,0.50 
Aucoumea klaineana,0.37
Autranella congolensis,0.78
Baillonella toxisperma,0.71
Balanites aegyptiaca,0.63 
Baphia kirkii,0.93 
Beilschmiedia corbisieri,0.63 
Beilschmiedia diversiflora,0.63 
Beilschmiedia kweo,0.56 
Beilschmiedia louisii,0.70 
Beilschmiedia membranifolia,0.50 
Beilschmiedia nitida,0.50 
Berlinia bracteosa,0.60 
Berlinia confusa,0.56 
Berlinia spp.,0.58
Blighia welwitschii,0.74 
Bombax buonopozense,0.32 
Bombax chevalieri,0.41 
Bombax rhodognaphalon,0.36 
Bombax spp.,0.40
Brachystegia cynometroides,0.56 
Brachystegia laurentii,0.45 
Brachystegia mildbraedii,0.50 
Brachystegia spp.,0.52
Bridelia grandis,0.50 
Bridelia micrantha,0.47 
Calpocalyx heitzii,0.66 
Calpocalyx klainei,0.63 
Canarium schweinfurthii,0.40 
Canthium rubrocostratum,0.63 
Carapa procera,0.59
Casearia battiscombei,0.50
Cassipourea euryoides,0.70 
Cassipourea malosana,0.59 
Ceiba pentandra,0.26
Celtis brieyi,0.50 
Celtis mildbraedii,0.56 
Celtis spp.,0.59
Celtis zenkeri,0.59 
Chlorophora excelsa,0.55
Chrysophyllum albidum,0.56 
Cleistanthus mildbraedii,0.87 
Cleistopholis patens,0.36 
Coelocaryon preussii,0.56 
