Specie,seeds,trees,use,D [m],h [m],ρ,AGB,source
Palma da cocco - Cocos nucifera,-,15,Frutto,,25,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Palma reale - Roystonea regia,79,79,Ornamentale,3,30,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Papaya - Carica Papaya,250,250,Frutto,0.6,8,,,http://tropical.theferns.info/viewtropical.php?id=Carica+papaya
Teak - Tectona grandis,6000,1500,Legna,1,50,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Avocado - Persea americana,-,24,Frutto,,25,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Tamarindo - Tamarindus indica,100,100,Frutto,2,20,,,http://tropical.theferns.info/viewtropical.php?id=Tamarindus+indica
Maya caniste - Pouteria campechiana,100,100,Frutto,,8,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Giaco - Artocarpus heterophyllus,-,16,Frutto,0.8,15,,,http://tropical.theferns.info/viewtropical.php?id=Artocarpus+heterophyllus
Cannella - Cinnamomum verum,200,200,Spezia,0.6,20,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Mapo - Citrus tangelo,100,100,Frutto,,6,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Guanàbano - Annona muricata,150,150,Frutto,0.15,7,,,http://tropical.theferns.info/viewtropical.php?id=Annona+muricata
Gelsomino - Jasminum sambac,50,50,Ornamentale,,3,,,http://tropical.theferns.info/viewtropical.php?id=Jasminum+sambac
Jambalac - Syzygium samarangense,8,8,Frutto,0.5,12,,,http://tropical.theferns.info/viewtropical.php?id=Syzygium+samarangense
Annona squamosa - Annona squamosa,12,12,Frutto,,6,,,http://tropical.theferns.info/viewtropical.php?id=Annona+squamosa
Sapotiglia - Manilkara zapota,-,11,Frutto,,30,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Guayabita del Perú - Psidium cattleianum,8,8,Frutto,0.25,12,,,http://tropical.theferns.info/viewtropical.php?id=Psidium+cattleianum
Mango - Mangifera indica,-,6,Frutto,,30,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Arancio - Citrus Sinensis,-,8,Frutto,,9,,,http://tropical.theferns.info/viewtropical.php?id=Citrus+sinensis
Limone - Citrus Limon,-,8,Frutto,,3,,,http://tropical.theferns.info/viewtropical.php?id=Citrus+limon
Mandarino - Citrus reticulata,-,8,Frutto,,4.5,,,http://tropical.theferns.info/viewtropical.php?id=Citrus+reticulata
Pompelmo - Citrus paradisi,-,4,Frutto,,15,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Melarosa Rossa - Syzygium malaccense,-,8,Frutto,,25,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Lici - Litchi chinensis,-,3,Frutto,,12,,,http://tropical.theferns.info/viewtropical.php?id=Litchi+chinensis
Rollinia mucosa - Rollinia deliciosa,-,8,Frutto,,15,,,https://fms.cmsvr.com/fmi/webd/Food_Plants_World
Baobab - Adansonia,-,3,Ornamentale,,,,,
