A Koura,Lophira alata,0.94,
Aba,Lophira alata,0.94,
Abacateiro,Hieronyma alchorneoides,0.58,
Abachi,Triplochiton scleroxylon,0.32,
Abacu,Tieghemella heckelii,0.60,
Abako,Tieghemella heckelii,0.60,
Abaku,Tieghemella heckelii,0.60,
Abang,Chlorophora excelsa,0.70,
Abang,Chlorophora regia,0.59,
Abassian Boxwood,Buxus sempervirens,0.83,
Abati,Hymenaea courbaril,0.83,
Abati Copal do Brasil,Hymenaea courbaril,0.83,
Abati Timbary,Hymenaea courbaril,0.83,
Abbihal,Erythrophloeum densiflorum,0.68,
Abecou,Tieghemella heckelii,0.60,
Abeille,Manilkara bidentata,0.95,
Abem,Berlinia acuminata,0.64,
Abenbele,Pouteria izabalensis,0.64,
Abnus,Diospyros ebenum,0.84,
Abogo,Isoberlinia doka,0.63,
Abome,Musanga cecropioides,0.23,
Aborzok,Mammea africana,0.69,
Aborzole,Mammea africana,0.69,
Abotoasebie,Mammea africana,0.69,
Abotzok,Mammea africana,0.69,
Abrico do Para,Mammea americana,0.74,
Abricot,Mammea americana,0.74,
Abricot de Saint Domingue,Mammea americana,0.74,
Abricot des Antilles,Mammea americana,0.74,
Abricot du Pays,Mammea americana,0.74,
Abricoteiro,Mammea americana,0.74,
Abricotier,Mammea americana,0.74,
Abricotier d'Amerique,Mammea americana,0.74,
Abrompesowa,Mammea africana,0.69,
Abura,Mitragyna ciliata,0.52,
Abura,Mitragyna stipulosa,0.53,
Abnus,Diospyros ebenumi,0.94,
Acacia,Albizia lebbecki,0.54,
Acacia,Albizia procera,0.55,
Acacia,Robinia pseudoacacia,0.69,
Acacu,Hura crepitans,0.40,
Acaiquara,Minquartia guianensis,0.83,
Acajou,Swietenia macrophylla,0.47,
Acajou,Swietenia mahagoni,0.57,
Acajou Amerique,Swietenia macrophylla,0.47,
Acajou d'Amerique,Swietenia macrophylla,0.47,
Acajou de Cuba,Sickingia salvadorense,0.65,
Acajou de Cuba,Swietenia mahagoni,0.57,
Acajou de Saint Domingue,Swietenia mahagoni,0.57,
Acajou de St. Domingue,Sickingia salvadorense,0.65,
Acajou de St. Domingue,Swietenia mahagoni,0.57,
Acajou des Antilles,Swietenia mahagoni,0.57,
Acajou du Honduras,Swietenia macrophylla,0.47,
Acajou Rouge,Cedrela huberi,0.40,4
Acajou Rouge,Cedrela odorata,0.39,
Acajou Umbaua,Khaya nyassica,0.44,
Acana,Manilkara bidentata,0.95,
Acana,Pouteria izabalensis,0.64,
Acana,Pouteria pomifera,0.84,
Acapro Tabebuia serratifolia,0.99,
Acapu,Minquartia guianensis,0.83,
Acar-Huacapu,Minquartia guianensis,0.83,
Acaricaara,Minquartia guianensis,0.83,
Acaricoara,Minquartia guianensis,0.83,
Acaricuara,Minquartia guianensis,0.83,
Acarioba,Minquartia guianensis,0.83,
Acariquara,Minquartia guianensis,0.83,
Acau,Hura crepitans,0.40,
Aceituno Montes,Platymiscium pinnatum,0.87,
Acha, Diospyros ebenum,0.94,
Achi,Brachystegia laurentii,0.57,
Achiwa,Vochysia guianensis,0.52,
Acrot,Aleurites moluccana,0.14,
Acaupa,Hura crepitans,0.40,
Acaupar,Hura crepitans,0.40,
Ada,Terminalia ivorensis,0.54,
Ada boumbra,Terminalia ivorensis,0.54,
Adaan,Albizia procera,0.55,
Adarouna,Catostemma fragrans,0.66,
Aderno,Astronium graveolens,0.89,
Aderno,Astronium graveolens,0.80,
Adirondack Spruce,Picea glauca,0.36,3
Adjouaba,Dacryodes le testui,0.56,
Adoma,Turraeanthus africanus,0.51,
Afa,Terminalia superba,0.40,
Afara,Terminalia superba,0.40,
Afara Duclu,Terminalia ivorensis,0.54,
Afara Dudu,Terminalia ivorensis,0.54,
Afara-Dudu,Terminalia ivorensis,0.54,
Afas,Vitex cofassus,0.67,
Afia,Terminalia ivorensis,0.54,
Afia Afia,Terminalia superba,0.40,
Afo,Poga oleosa,0.39,
Afodonko,Terminalia superba,0.40,
Afop Zam,Mitragyna stipulosa,0.53,
Afraa,Terminalia superba,0.40,
Afrikaans Padoek,Pterocarpus soyauxii,0.64,
African Apple,Mammea africana,0.69,
African Apricot,Mammea africana,0.69,
African Black Walnut,Mansonia altissima,0.55,
African Boxwood,Gonioma kamassi,0.85,
African Brazil Nut,Poga oleosa,0.39,
African Bush Maple,Triplochiton scleroxylon,0.32,
African Cherry,Tieghemella heckelii,0.60,
African Coral Wood,Pterocarpus soyauxii,0.64,
African Corkwood,Musanga cecropioides,0.23,
African Ebony,Diospyros ebenum,0.94,10
African Furniture Wood,Turraeanthus africanus,0.51,
African Greenheart,Piptadeniastrum africanum,0.63,
African Greenheart,Terminalia ivorensis,0.54,
African Homalium,Homalium dolicophyllum,0.63,
African Linden,Mitragyna stipulosa,0.53,
African Mahogany,Khaya nyassica,0.44,2
African Mammea Apple,Mammea africana,0.69,
African Mammy Apple,Mammea africana,0.69,
African Mango,Irvingia gabonensis,0.76,
African Maple,Triplochiton scleroxylon,0.32,
African Oak,Chlorophora excelsa,0.70,
African Oak,Lophira alata,0.94,
African Padauk,Pterocarpus soyauxii,0.64,4
African Pterygota,Pterygota bequaertii,0.53,
African Pterygota,Pterygota macrocarpa,0.54,
African Rosewood,Guibourtia coleosperma,0.66,
African Satinwood,Turraeanthus africanus,0.51,
African Teak,Chlorophora excelsa,0.70,
African Tulip,Spathodea campanulata,0.25,
African Tuliptree,Spathodea campanulata,0.25,
African Walnut,Lovoa trichiliodes,0.46,
African Walnut,Mansonia altissima,0.55,
African Whitewood,Triplochiton scleroxylon,0.32,
African Yellow Wood,Terminalia ivorensis,0.54,
African Zebrawood,Microberlinia brazzavillensis,0.77,
Afrik Padouk,Pterocarpus soyauxii,0.64,
Afrikaans Padoek,Pterocarpus soyauxii,0.64,
Afrikanisches Korallenholz,Pterocarpus soyauxii,0.64,
Afrikanisches Padoik,Pterocarpus soyauxii,0.64,
Afrormosia,Pericopsis elata,0.65,2
Afun,Mansonia altissima,0.55,
Afzelia,Afzelia bipindensis,0.62,
Afzelia,Afzelia pachyloba,0.62,
