Lophira alata,0.94
Lophira alata,0.94
Hieronyma alchorneoides,0.58
Triplochiton scleroxylon,0.32
Tieghemella heckelii,0.6
Tieghemella heckelii,0.6
Tieghemella heckelii,0.6
Chlorophora excelsa,0.7
Chlorophora regia,0.59
Buxus sempervirens,0.83
Hymenaea courbaril,0.83
Hymenaea courbaril,0.83
Hymenaea courbaril,0.83
Erythrophloeum densiflorum,0.68
Tieghemella heckelii,0.6
Manilkara bidentata,0.95
Berlinia acuminata,0.64
Pouteria izabalensis,0.64
Diospyros ebenum,0.84
Isoberlinia doka,0.63
Musanga cecropioides,0.23
Mammea africana,0.69
Mammea africana,0.69
Mammea africana,0.69
Mammea africana,0.69
Mammea americana,0.74
Mammea americana,0.74
Mammea americana,0.74
Mammea americana,0.74
Mammea americana,0.74
Mammea americana,0.74
Mammea americana,0.74
Mammea americana,0.74
Mammea africana,0.69
Mitragyna ciliata,0.52
Mitragyna stipulosa,0.53
Diospyros ebenumi,0.94
Albizia lebbecki,0.54
Albizia procera,0.55
Robinia pseudoacacia,0.69
Hura crepitans,0.4
Minquartia guianensis,0.83
Swietenia macrophylla,0.47
Swietenia mahagoni,0.57
Swietenia macrophylla,0.47
Swietenia macrophylla,0.47
Sickingia salvadorense,0.65
Swietenia mahagoni,0.57
Swietenia mahagoni,0.57
Sickingia salvadorense,0.65
Swietenia mahagoni,0.57
Swietenia mahagoni,0.57
Swietenia macrophylla,0.47
Cedrela huberi,0.4
Cedrela odorata,0.39
Khaya nyassica,0.44
Manilkara bidentata,0.95
Pouteria izabalensis,0.64
Pouteria pomifera,0.84
0.99,
Minquartia guianensis,0.83
Minquartia guianensis,0.83
Minquartia guianensis,0.83
Minquartia guianensis,0.83
Minquartia guianensis,0.83
Minquartia guianensis,0.83
Minquartia guianensis,0.83
Hura crepitans,0.4
Platymiscium pinnatum,0.87
 Diospyros ebenum,0.94
Brachystegia laurentii,0.57
Vochysia guianensis,0.52
Aleurites moluccana,0.14
Hura crepitans,0.4
Hura crepitans,0.4
Terminalia ivorensis,0.54
Terminalia ivorensis,0.54
Albizia procera,0.55
Catostemma fragrans,0.66
Astronium graveolens,0.89
Astronium graveolens,0.8
Picea glauca,0.36
Dacryodes le testui,0.56
Turraeanthus africanus,0.51
Terminalia superba,0.4
Terminalia superba,0.4
Terminalia ivorensis,0.54
Terminalia ivorensis,0.54
Terminalia ivorensis,0.54
Vitex cofassus,0.67
Terminalia ivorensis,0.54
Terminalia superba,0.4
Poga oleosa,0.39
Terminalia superba,0.4
Mitragyna stipulosa,0.53
Terminalia superba,0.4
Pterocarpus soyauxii,0.64
Mammea africana,0.69
Mammea africana,0.69
Mansonia altissima,0.55
Gonioma kamassi,0.85
Poga oleosa,0.39
Triplochiton scleroxylon,0.32
Tieghemella heckelii,0.6
Pterocarpus soyauxii,0.64
Musanga cecropioides,0.23
Diospyros ebenum,0.94
Turraeanthus africanus,0.51
Piptadeniastrum africanum,0.63
Terminalia ivorensis,0.54
Homalium dolicophyllum,0.63
Mitragyna stipulosa,0.53
Khaya nyassica,0.44
Mammea africana,0.69
Mammea africana,0.69
Irvingia gabonensis,0.76
Triplochiton scleroxylon,0.32
Chlorophora excelsa,0.7
Lophira alata,0.94
Pterocarpus soyauxii,0.64
Pterygota bequaertii,0.53
Pterygota macrocarpa,0.54
Guibourtia coleosperma,0.66
Turraeanthus africanus,0.51
Chlorophora excelsa,0.7
Spathodea campanulata,0.25
Spathodea campanulata,0.25
Lovoa trichiliodes,0.46
Mansonia altissima,0.55
Triplochiton scleroxylon,0.32
Terminalia ivorensis,0.54
Microberlinia brazzavillensis,0.77
Pterocarpus soyauxii,0.64
Pterocarpus soyauxii,0.64
Pterocarpus soyauxii,0.64
Pterocarpus soyauxii,0.64
Pericopsis elata,0.65
Mansonia altissima,0.55
Afzelia bipindensis,0.62
Afzelia pachyloba,0.62
